codigo;ex;Tipo;descricao;NacionalFederal;ImportadoFederal;estadual;municipal;VigenciaInicio;VigenciaFim;Chave;Versao;Fonte
01012100;;0;--Reprodutores de raça pura;4.20;4.80;0.00;0.00;01/07/2014;31/12/2014;6ed75L;14.2.a;IBPT
01012900;;0;--Outros;4.20;6.29;0.00;0.00;;;;;
01013000;;0;-Asininos;4.20;7.72;0.00;0.00;;;;;
01019000;;0;-Outros;4.20;7.72;0.00;0.00;;;;;
01022110;;0;Prenhes ou com cria ao pé;4.20;4.80;0.00;0.00;;;;;
01022190;;0;Outros;4.20;4.80;0.00;0.00;;;;;
01022911;;0;Prenhes ou com cria ao pé;4.20;6.29;0.00;0.00;;;;;
01022919;;0;Outros;4.20;6.29;0.00;0.00;;;;;
01022990;;0;Outros;4.20;6.29;0.00;0.00;;;;;
01023110;;0;Prenhes ou com cria ao pé;4.20;4.80;0.00;0.00;;;;;
01023190;;0;Outros;4.20;4.80;0.00;0.00;;;;;
01023911;;0;Prenhes ou com cria ao pé;4.20;6.29;0.00;0.00;;;;;
01023919;;0;Outros;4.20;6.29;0.00;0.00;;;;;
01023990;;0;Outros;4.20;6.29;0.00;0.00;;;;;
01029000;;0;-Outros;4.20;4.80;0.00;0.00;;;;;
01031000;;0;-Reprodutores de raça pura;4.20;4.80;0.00;0.00;;;;;
01039100;;0;--De peso inferior a 50 kg;4.20;6.29;0.00;0.00;;;;;
01039200;;0;--De peso igual ou superior a 50 kg;4.20;6.29;0.00;0.00;;;;;
01041011;;0;Prenhes ou com cria ao pé;4.20;4.80;0.00;0.00;;;;;
01041019;;0;Outros;4.20;4.80;0.00;0.00;;;;;
01041090;;0;Outros;4.20;6.29;0.00;0.00;;;;;
01042010;;0;Reprodutores de raça pura;4.20;4.80;0.00;0.00;;;;;
01042090;;0;Outros;4.20;6.29;0.00;0.00;;;;;
01051110;;0;De linhas puras ou híbridas, para reprodução;4.20;4.80;0.00;0.00;;;;;
01051190;;0;Outros;4.20;6.29;0.00;0.00;;;;;
01051200;;0;--Peruas e perus;4.20;6.29;0.00;0.00;;;;;
01051300;;0;--Patos;4.20;6.29;0.00;0.00;;;;;
01051400;;0;--Gansos;4.20;6.29;0.00;0.00;;;;;
