codigo;ex;tipo;descricao;nacionalfederal;importadosfederal;estadual;municipal;vigenciainicio;vigenciafim;chave;versao;fonte
00000000;;0;"PRODUTO NAO ESPECIFICADO NA LISTA DE NCM";13.45;15.45;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01012100;;0;"Cavalos reprodutores,de raca pura";4.20;6.20;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01012900;;0;"Cavalos vivos,exceto reprodutores de raca pura";4.20;6.86;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01013000;;0;"Asininos";4.20;7.49;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01019000;;0;"Outros asininos e muares,vivos";4.20;7.49;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01022110;;0;"Bovinos reprodutores,de raca pura,prenhe ou com cria ao pe";4.20;6.20;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01022190;;0;"Outros bovinos reprodutores,de raca pura";4.20;6.20;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01022911;;0;"Outros bovinos para reprodução, prenhe ou com cria ao pe";4.20;6.86;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01022919;;0;"Outros bovinos domésticos para reprodução";4.20;6.86;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01022990;;0;"Outros bovinos domésticos";4.20;6.86;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01023110;;0;"Búfalos reprodutores,de raca pura, prenhe ou com cria ao pe";4.20;6.20;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01023190;;0;"Outros búfalos reprodutores,de raca pura";4.20;6.20;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01023911;;0;"Outros búfalos para reprodução, prenhe ou com cria ao pe";4.20;6.86;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01023919;;0;"Outros búfalos para reprodução";4.20;6.86;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01023990;;0;"Outros búfalos";4.20;6.86;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01029000;;0;"Outros animais vivos da espécie bovina";4.20;6.20;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01031000;;0;"Suinos  reprodutores de raça pura";4.20;6.20;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01039100;;0;"Outros suinos,vivos,de peso inferior a 50kg";4.20;6.86;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
01039200;;0;"Outros suinos,vivos,de peso igual ou superior a 50kg";4.20;6.86;0.00;0.00;01/02/2019;30/04/2019;801EC4;19.1.A;IBPT/empresometro.com.br
